account_id,event_day,active_users,sessions,events,revenue
ACC_0001,2009-12-14,1,3,3,90.0
ACC_0001,2009-12-18,1,2,2,23.5
ACC_0001,2010-01-04,1,2,2,45.0
ACC_0001,2010-01-14,1,1,1,22.5
ACC_0001,2010-01-22,1,1,1,22.5
ACC_0001,2010-03-02,1,1,5,27.05
ACC_0001,2010-04-29,1,1,46,1068.52
ACC_0001,2010-05-18,1,1,1,200.0
ACC_0001,2010-05-21,1,1,22,488.21000000000004
ACC_0001,2010-06-28,1,1,19,142.31
ACC_0001,2010-09-27,1,1,20,222.16
ACC_0001,2010-10-11,1,1,37,910.44
ACC_0001,2010-10-27,1,1,20,317.76
ACC_0001,2010-10-28,1,1,55,1402.62
ACC_0001,2010-10-31,1,1,40,611.53
ACC_0001,2010-11-11,1,1,20,2301.96
ACC_0001,2010-11-12,1,1,6,143.75
ACC_0001,2010-11-16,1,2,165,12079.99
ACC_0001,2010-11-24,1,1,27,349.85
ACC_0001,2010-11-29,2,2,33,500.98
ACC_0001,2010-12-07,1,1,62,1423.58
ACC_0001,2010-12-16,1,1,17,892.8
ACC_0001,2011-01-18,2,2,37,79455.22
ACC_0001,2011-01-25,1,1,6,227.44
ACC_0001,2011-01-26,1,1,29,475.39
ACC_0001,2011-02-02,1,1,17,334.4
ACC_0001,2011-02-16,1,1,15,296.5
ACC_0001,2011-03-01,1,2,8,984.6500000000001
ACC_0001,2011-03-17,1,1,7,120.33
ACC_0001,2011-03-22,1,1,8,160.33
ACC_0001,2011-04-05,1,1,5,367.0
ACC_0001,2011-04-07,1,1,24,636.25
ACC_0001,2011-04-08,1,1,21,481.46000000000004
ACC_0001,2011-04-21,1,1,58,1079.4
ACC_0001,2011-05-09,1,1,13,459.4
ACC_0001,2011-05-19,1,1,4,89.0
ACC_0001,2011-06-09,1,1,18,382.52
ACC_0001,2011-08-02,1,1,22,584.9100000000001
ACC_0001,2011-09-20,1,1,18,366.25
ACC_0001,2011-09-25,1,1,3,310.0
ACC_0001,2011-09-28,1,1,14,266.25
ACC_0001,2011-10-31,1,1,47,1294.32
ACC_0001,2011-11-03,1,1,15,311.73
ACC_0001,2011-11-06,1,1,131,6207.67
ACC_0001,2011-11-17,1,1,2,58.349999999999994
ACC_0001,2011-11-21,1,1,73,1757.55
ACC_0001,2011-12-07,1,1,11,224.82
ACC_0002,2009-12-01,1,1,1,130.0
ACC_0002,2009-12-05,1,1,32,760.69
ACC_0002,2009-12-08,1,1,17,1429.83
ACC_0002,2009-12-16,1,1,2,78.2
ACC_0002,2010-01-26,1,1,7,109.19999999999999
ACC_0002,2010-02-22,1,1,10,118.00000000000001
ACC_0002,2010-03-08,1,1,19,337.74
ACC_0002,2010-03-16,1,1,3,500.24
ACC_0002,2010-03-23,1,1,13,345.6
ACC_0002,2010-03-24,1,1,1,40.0
ACC_0002,2010-05-09,1,1,6,98.15
ACC_0002,2010-05-25,1,1,34,622.04
ACC_0002,2010-06-07,1,1,18,268.1
ACC_0002,2010-06-22,1,1,20,489.8
ACC_0002,2010-09-03,1,1,6,114.0
ACC_0002,2010-10-10,1,1,31,551.33
ACC_0002,2010-11-12,1,1,42,690.79
ACC_0002,2010-11-25,1,1,1,120.0
ACC_0002,2010-11-29,1,1,23,1021.08
ACC_0002,2011-01-12,1,1,16,547.5
ACC_0002,2011-02-07,1,1,80,1838.9099999999999
ACC_0002,2011-02-17,1,1,27,479.1
ACC_0002,2011-02-21,1,2,22,641.38
ACC_0002,2011-02-25,1,1,10,189.9
ACC_0002,2011-04-11,1,1,16,299.1
ACC_0002,2011-04-28,1,1,29,495.24
ACC_0002,2011-05-23,1,1,45,1083.58
ACC_0002,2011-06-03,1,1,47,1109.32
ACC_0002,2011-07-07,1,1,19,303.76
ACC_0002,2011-07-12,1,1,12,484.86
ACC_0002,2011-08-11,1,1,30,469.25
ACC_0002,2011-08-19,2,2,64,1158.6200000000001
ACC_0002,2011-08-22,1,1,7,252.9
ACC_0002,2011-09-22,1,1,2,79.8
ACC_0002,2011-09-28,1,1,40,829.99
ACC_0002,2011-10-11,1,1,15,355.8
ACC_0002,2011-10-13,1,1,105,2876.85
ACC_0002,2011-10-18,1,1,54,1043.78
ACC_0002,2011-10-26,1,1,33,786.95
ACC_0002,2011-10-28,1,1,27,499.15999999999997
ACC_0002,2011-10-30,1,1,22,299.06
ACC_0002,2011-11-04,1,1,16,477.94
ACC_0002,2011-12-02,1,1,27,310.32
ACC_0002,2011-12-05,1,1,11,168.9
ACC_0002,2011-12-06,1,1,30,529.04
ACC_0002,2011-12-08,1,1,7,683.2
ACC_0003,2010-02-09,1,1,25,562.96
ACC_0003,2010-03-08,1,1,9,348.32
ACC_0003,2010-03-21,1,1,18,917.6999999999999
ACC_0003,2010-03-25,1,2,10,211.66
ACC_0003,2010-09-16,1,1,75,1259.48
ACC_0003,2010-10-22,1,1,9,183.35
ACC_0003,2010-12-14,1,1,83,1590.82
ACC_0003,2010-12-17,1,1,8,277.2
ACC_0003,2011-03-10,1,1,48,938.39
ACC_0003,2011-10-19,1,1,28,739.28
ACC_0004,2010-02-04,1,1,21,437.90000000000003
ACC_0004,2010-02-15,1,2,52,3017.3
ACC_0004,2010-03-03,1,1,1,200.0
ACC_0004,2010-03-04,1,2,34,607.6800000000001
ACC_0004,2010-03-25,1,1,16,325.15000000000003
ACC_0004,2010-04-29,1,1,47,1210.96
ACC_0004,2010-04-30,1,1,36,1388.54
ACC_0004,2010-05-06,1,1,26,461.62
ACC_0004,2010-05-26,1,1,82,1407.7
ACC_0004,2010-06-23,1,1,18,367.48
ACC_0004,2010-06-29,1,3,75,2597.35
ACC_0004,2010-08-31,1,1,45,1136.84
ACC_0004,2010-09-20,1,1,20,658.83
ACC_0004,2010-10-13,1,1,23,400.5
ACC_0004,2010-10-14,1,2,14,857.75
ACC_0004,2010-10-18,1,1,11,432.55
ACC_0004,2010-10-20,1,1,9,143.94
ACC_0004,2010-10-26,1,1,70,1571.74
ACC_0004,2010-11-15,1,1,2,70.6
ACC_0004,2010-11-23,1,1,28,587.24
ACC_0004,2010-11-25,1,1,65,1938.4
ACC_0004,2010-12-08,1,1,16,517.8
ACC_0004,2010-12-20,1,1,43,1001.52
ACC_0004,2010-12-22,1,1,37,600.72
ACC_0004,2011-01-06,1,1,2,143.0
ACC_0004,2011-01-12,1,1,31,651.16
ACC_0004,2011-01-17,1,1,19,431.3
ACC_0004,2011-01-28,1,1,34,626.6
ACC_0004,2011-02-01,1,1,14,364.6
ACC_0004,2011-02-07,1,1,6,124.05000000000001
ACC_0004,2011-02-16,1,1,20,399.22
ACC_0004,2011-03-09,1,1,10,210.9
ACC_0004,2011-03-14,1,1,15,357.07
ACC_0004,2011-04-15,1,1,11,142.16
ACC_0004,2011-05-11,1,1,19,515.7
ACC_0004,2011-06-07,1,1,36,607.5500000000001
ACC_0004,2011-06-08,1,1,5,99.45
ACC_0004,2011-06-22,1,1,20,459.84
ACC_0004,2011-07-14,1,1,35,902.09
ACC_0004,2011-08-02,1,1,219,4008.62
ACC_0004,2011-08-10,1,1,14,292.69
ACC_0004,2011-08-12,1,1,62,1268.74
ACC_0004,2011-09-02,1,1,11,230.3
ACC_0004,2011-09-19,1,1,20,392.40000000000003
